utc_time;AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE
2015-04-10T09:00:00Z;5020.194207;5255.618543;2326.841924;1010.545594;4228.296884;329.715914;6025.709728;40993.360996;6602.672178;17680.294373;1194.113056;8879.085201;28153.247267;43823.848956;5783.651484;1778.774686;3799.776104;3786.442245;13620.769641;1671.041907;389.982728;1571.947548;97.134387;10404.721675;7733.472613;14582.988337;2855.967373;5029.800825;1733.395987;2646.944790;930.573468;9885.765233
2015-04-10T10:00:00Z;3328.324506;2036.383838;2061.840847;756.495698;3163.319542;337.823142;4449.381339;22018.187949;5977.567488;15015.410109;1104.618851;8397.151354;14325.105323;32935.648882;5303.563495;1314.460352;2533.518163;3143.547976;10999.300711;1496.128199;232.733058;1332.477840;95.515517;6236.535641;7226.470751;10089.837494;2370.826762;3942.710938;1085.743336;2258.585683;720.850390;8914.569101
2015-04-10T11:00:00Z;2624.487177;1437.779131;1881.347942;618.760707;2826.412399;360.280689;3395.858116;16039.752728;5404.972091;13352.643805;1076.439519;8107.894186;8904.146004;23836.969860;5016.965893;949.848323;1725.146580;2790.857658;9724.058418;1342.619284;127.350678;1146.916341;93.996211;4575.371810;6815.780046;7272.970498;1667.004081;3280.330469;768.395216;1973.543400;568.183432;7990.766949
2015-04-10T12:00:00Z;2374.982501;1421.106039;1802.153533;557.122157;2657.834001;377.423665;2889.691420;15026.783862;4860.192316;11339.351015;1149.409520;7927.222390;7629.651182;17698.758872;4929.826496;717.640041;1254.960174;2626.592536;9172.209318;1209.922288;87.430961;1024.974351;92.377341;4030.081913;6468.945296;5672.213043;1546.154988;2964.910342;627.412684;1784.302822;461.906631;7335.456840
2015-04-10T13:00:00Z;2207.361653;1415.634575;1769.032940;508.601060;2926.847995;401.964697;2286.273192;14863.825721;4751.375588;10223.932378;1117.718161;7410.688408;7016.647841;13891.282846;4419.024580;595.874836;821.316562;2469.166944;8926.694016;917.522802;79.904703;741.652023;86.275798;3658.117887;6338.164375;4109.055159;1451.328661;2666.665575;613.966465;1441.027995;343.494547;7127.635277
2015-04-10T14:00:00Z;2213.449172;1415.634575;1875.245327;522.639845;2917.383072;429.204098;2312.452885;14997.270115;4642.898241;10348.758036;1339.012562;7430.342285;7507.416350;15701.771598;4900.114767;629.032655;865.085715;2534.858061;9737.207156;967.946006;79.904703;860.189631;84.034462;3504.586645;6286.875098;4350.010990;1400.680140;2869.437108;643.469817;1512.757000;357.235680;6993.068126
2015-04-10T15:00:00Z;2369.989621;1415.634575;2081.415071;596.158352;3093.698033;471.967839;2581.512522;15370.601943;4734.163177;10967.991778;1498.582538;7557.633139;8824.615518;16406.204821;5526.714365;698.094281;1109.793820;2788.097179;11245.212648;1109.114282;79.904703;1082.865847;82.813849;3367.128315;6336.685582;5179.972828;1372.738129;3438.927733;715.008321;1712.386078;426.208024;7261.929230
2015-04-10T16:00:00Z;3141.634473;1423.089465;2765.583259;813.154696;3467.258122;565.663533;3461.885990;16307.100503;4932.886257;11729.451724;1511.981042;7773.160142;11295.438031;16757.572988;6779.481142;897.532248;2818.809889;3189.954358;14025.311118;1394.252533;101.776206;1404.112131;82.340349;3484.801008;6547.942509;8857.865035;1373.333246;5868.628275;1376.594036;2295.546485;605.223886;7909.525183
2015-04-10T17:00:00Z;5960.047709;1490.202628;4319.891286;1542.505149;4890.573312;656.297361;6243.227012;31521.137063;5492.816806;13141.309722;1534.803812;8109.649699;17161.023559;20675.487033;9256.865180;2259.339900;6518.877057;3572.923767;20714.625456;1743.304864;287.991067;1761.223490;82.614720;3782.151470;6958.293630;18821.101412;1415.007414;9471.409279;2716.729279;3515.367196;1038.749207;8855.263338
2015-04-10T18:00:00Z;9130.319810;4717.740124;4571.868729;1926.848854;8574.769401;698.414319;9037.314416;75099.180615;6849.563856;16720.293788;1581.798730;8353.424342;35215.060681;30438.872862;9852.366871;3253.474774;8558.000750;3925.064154;34982.801032;1978.958188;606.882892;1999.352880;83.760850;10427.925118;7686.242675;24737.404738;1707.054334;10406.846921;3281.746664;4323.543827;1502.833009;10086.066910
